District,Cook,Real Clear Politics
Arizona 1,Tossup,Tossup
Arizona 2,Lean D,Lean D
Arizona 9,Lean D,Lean D
Arkansas 1,Solid R,Safe R
Arkansas 4,Likely R,Safe R
California 3,Likely D,Likely D
California 7,Tossup,Tossup
California 9,Tossup,Tossup
California 10,Tossup,Tossup
California 16,Solid D,Safe D
California 21,Likely R,Likely R
California 24,Lean D,Tossup
California 26,Tossup,Tossup
California 36,Tossup,Tossup
California 41,Lean D,Lean D
California 47,Likely D,Likely D
California 52,Tossup,Tossup
Colorado 3,Lean R,Leans R
Colorado 6,Tossup,Tossup
Colorado 7,Lean D,Lean D
Connecticut 4,Solid D,Likely D
Connecticut 5,Tossup,Tossup
Florida 2,Lean R,Leans R
Florida 9,Likely D,Likely D
Florida 10,Lean R,Leans R
Florida 13,Solid R,Likely R
Florida 16,Likely R,Likely R
Florida 18,Tossup,Tossup
Florida 22,Likely D,Lean D
Florida 26,Lean D,Lean D
Georgia 12,Tossup,Tossup
Illinois 8,Likely D,Likely D
Illinois 10,Tossup,Tossup
Illinois 11,Tossup,Lean D
Illinois 12,Tossup,Tossup
Illinois 13,Tossup,Tossup
Illinois 17,Tossup,Tossup
Indiana 2,Likely R,Likely R
Indiana 8,Lean R,Likely R
Iowa 1,Likely D,Likely D
Iowa 2,Likely D,Likely D
Iowa 3,Lean R,Tossup
,,
Iowa 4,Lean R,Tossup
Kentucky 6,Tossup,Tossup
Maine 2,Solid D,Lean D
Maryland 6,Likely D,Likely D
Massachusetts 6,Lean R,Leans R
Michigan 1,Tossup,Tossup
Michigan 3,Likely R,Likely R
Michigan 6,Solid R,Safe R
Michigan 7,Solid R,Safe R
Michigan 11,Lean R,Tossup
Minnesota 2,Solid R,Safe R
Minnesota 6,Lean R,Leans R
Minnesota 7,Solid D,Safe D
Minnesota 8,Tossup,Tossup
Montana at-large,Likely R,Likely R
Nebraska 2,Likely R,Leans R
Nevada 3,Lean R,Leans R
Nevada 4,Tossup,Tossup
New Hampshire 1,Tossup,Tossup
New Hampshire 2,Lean D,Lean D
New Jersey 3,Lean R,Leans R
New Jersey 5,Solid R,Safe R
New Jersey 7,Solid R,Likely R
New Jersey 9,Solid D,Safe D
New Mexico 1,Solid D,Safe D
New York 1,Lean D,Tossup
New York 11,Likely R,Likely R
New York 18,Tossup,Leans R
New York 19,Tossup,Leans R
New York 21,Lean D,Tossup
New York 22,Solid R,Safe R
New York 23,Solid R,Safe R
New York 24,Lean D,Lean D
New York 25,Likely D,Lean D
New York 27,Lean R,Tossup
North Carolina 7,Tossup,Tossup
North Carolina 8,Likely R,Likely R
North Carolina 11,Likely R,Likely R
North Carolina 13,Likely R,Safe R
North Dakota at-large,Likely R,Likely R
Ohio 6,Tossup,Tossup
Ohio 7,Likely R,Likely R
Ohio 9,Solid D,Safe D
Ohio 16,Lean R,Tossup
,,
Oklahoma 2,Likely R,Likely R
Oregon 5,Solid D,Safe D
Pennsylvania 6,Likely R,Likely R
Pennsylvania 7,Solid R,Safe R
Pennsylvania 8,Lean R,Likely R
Pennsylvania 11,Solid R,Safe R
Pennsylvania 12,Tossup,Tossup
Pennsylvania 15,Solid R,Safe R
Pennsylvania 18,Solid R,Safe R
Rhode Island 1,Tossup,Lean D
South Dakota at-large,Likely R,Safe R
Tennessee 4,Tossup,Leans R
Texas 10,Solid R,Safe R
Texas 14,Lean R,Leans R
Texas 23,Tossup,Tossup
Texas 34,Solid D,Safe D
Utah 4,Lean R,Tossup
Virginia 2,Likely R,Likely R
Virginia 5,Solid R,Safe R
Washington 1,Lean D,Lean D
Washington 3,Solid R,Safe R
Washington 10,Solid D,Safe D
West Virginia 3,Likely D,Likely D
Wisconsin 7,Lean R,Leans R
Wisconsin 8,Likely R,Likely R
